ROC_Year,CPI_Total,一.食物類,二.衣著類,CPI_Housing,四.交通及通訊類,五.醫藥保健類,六.教養娛樂類,七.雜項類,Year,CPI_YoY
103年,94.83,87.14,98.1,97.82,102.64,94.39,98.46,90.38,2014,NA
104年,94.54,89.86,97.55,96.71,96.65,94.67,98.44,90.63,2015,-0.3058103975535076
105年,95.86,94.56,97.75,96.48,95.57,95.49,98.53,91.89,2016,1.3962343981383407
106年,96.45,94.21,97.51,97.31,97.31,97.12,98.82,93.64,2017,0.6154809096599267
107年,97.76,95.15,97.79,98.2,99.51,98.15,99.04,98.08,2018,1.3582166925868444
108年,98.3,96.96,97.08,98.81,98.07,98.98,99.78,98.65,2019,0.5523731587561365
109年,98.07,97.61,98.26,99.09,94.27,99.77,98.81,99.61,2020,-0.2339776195320442
110年,100,100,100,100,100,100,100,100,2021,1.9679820536351755
111年,102.95,105.66,102.38,102.26,103.46,101.22,101.18,101.37,2022,2.950000000000008
112年,105.51,109.92,103.23,104.35,104.26,103.44,104.33,103.84,2023,2.486644001942695
113年,107.81,113.98,103.55,106.64,104.62,106.59,105.99,106.12,2024,2.1798881622594912
