Year,Quarter,Region,House_Price_Income_Ratio,Quarter_Number,Quarter_Date,CPI_Total,Happiness_Score,Quarter_Label,Happiness_Index,CPI_Index,House_Price_Income_Index
2017,Q1,Taiwan,9.24,1,2017-01-01,95.81333333333333,6.441,2017 Q1,100,100,100
2017,Q2,Taiwan,9.46,2,2017-04-01,96.00666666666666,6.441,2017 Q2,100,100.20178124130253,102.3809523809524
2017,Q3,Taiwan,9.22,3,2017-07-01,96.62,6.441,2017 Q3,100,100.84191483440024,99.78354978354979
2017,Q4,Taiwan,9.16,4,2017-10-01,97.37,6.441,2017 Q4,100,101.62468689117729,99.13419913419914
2018,Q1,Taiwan,9.08,1,2018-01-01,97.31,6.446,2018 Q1,100.0776276975625,101.56206512663513,98.26839826839827
2018,Q2,Taiwan,9,2,2018-04-01,97.65666666666667,6.446,2018 Q2,100.0776276975625,101.92387976621208,97.40259740259741
2018,Q3,Taiwan,8.82,3,2018-07-01,98.23333333333333,6.446,2018 Q3,100.0776276975625,102.52574450320067,95.45454545454545
2018,Q4,Taiwan,8.57,4,2018-10-01,97.82000000000001,6.446,2018 Q4,100.0776276975625,102.09435012524352,92.74891774891775
2019,Q1,Taiwan,8.66,1,2019-01-01,97.61666666666666,6.45539999008179,2019 Q1,100.22356761499441,101.88213192318396,93.72294372294373
2019,Q2,Taiwan,8.79,2,2019-04-01,98.45,6.45539999008179,2019 Q2,100.22356761499441,102.75187865293627,95.12987012987011
2019,Q3,Taiwan,8.47,3,2019-07-01,98.63666666666667,6.45539999008179,2019 Q3,100.22356761499441,102.94670192040078,91.66666666666667
2019,Q4,Taiwan,8.58,4,2019-10-01,98.50333333333333,6.45539999008179,2019 Q4,100.22356761499441,102.80754244364041,92.85714285714286
2020,Q1,Taiwan,8.62,1,2020-01-01,98.14666666666666,6.584,2020 Q1,102.22015215028722,102.43529084330643,93.29004329004327
2020,Q2,Taiwan,8.66,2,2020-04-01,97.49333333333334,6.584,2020 Q2,102.22015215028722,101.75340940718063,93.72294372294373
2020,Q3,Taiwan,9.19,3,2020-07-01,98.17,6.584,2020 Q3,102.22015215028722,102.4596437517395,99.45887445887445
2020,Q4,Taiwan,9.2,4,2020-10-01,98.46,6.584,2020 Q4,102.22015215028722,102.76231561369329,99.56709956709956
2021,Q1,Taiwan,9.13,1,2021-01-01,98.93,6.512,2021 Q1,101.10231330538736,103.2528527692736,98.80952380952381
2021,Q2,Taiwan,9.07,2,2021-04-01,99.56666666666666,6.512,2021 Q2,101.10231330538736,103.91733927080433,98.16017316017316
2021,Q3,Taiwan,9.24,3,2021-07-01,100.41,6.512,2021 Q3,101.10231330538736,104.79752296131366,100
2021,Q4,Taiwan,9.46,4,2021-10-01,101.09333333333333,6.512,2021 Q4,101.10231330538736,105.51071527971054,102.3809523809524
2022,Q1,Taiwan,9.58,1,2022-01-01,101.71,6.535,2022 Q1,101.45940071417483,106.15432785972725,103.67965367965368
2022,Q2,Taiwan,9.69,2,2022-04-01,103.00333333333333,6.535,2022 Q2,101.45940071417483,107.5041747843028,104.87012987012987
2022,Q3,Taiwan,9.8,3,2022-07-01,103.35,6.535,2022 Q3,101.45940071417483,107.86598942387977,106.06060606060606
2022,Q4,Taiwan,9.61,4,2022-10-01,103.72333333333333,6.535,2022 Q4,101.45940071417483,108.25563595880878,104.004329004329
2023,Q1,Taiwan,9.72,1,2023-01-01,104.36333333333333,6.503,2023 Q1,100.96258344977488,108.92360144725855,105.1948051948052
2023,Q2,Taiwan,9.82,2,2023-04-01,105.10333333333334,6.503,2023 Q2,100.96258344977488,109.6959365432786,106.27705627705627
2023,Q3,Taiwan,9.86,3,2023-07-01,105.87666666666667,6.503,2023 Q3,100.96258344977488,110.50306150848871,106.70995670995671
2023,Q4,Taiwan,9.97,4,2023-10-01,106.70666666666666,6.503,2023 Q4,100.96258344977488,111.36932925132201,107.90043290043289
2024,Q1,Taiwan,10.35,1,2024-01-01,106.80333333333334,6.669,2024 Q1,103.53982300884957,111.4702198719733,112.01298701298701
2024,Q2,Taiwan,10.65,2,2024-04-01,107.41333333333333,6.669,2024 Q2,103.53982300884957,112.10687447815195,115.25974025974025
2024,Q3,Taiwan,10.82,3,2024-07-01,108.24,6.669,2024 Q3,103.53982300884957,112.96966323406623,117.09956709956711
2024,Q4,Taiwan,10.76,4,2024-10-01,108.79666666666667,6.669,2024 Q4,103.53982300884957,113.55065404954077,116.45021645021644
